date,phong_ban,sum_duration
2020-03-08,wo_others,200730.84
2020-03-08,wo_ksnn,34658.0
2020-03-09,wo_others,199577.39
2020-03-09,wo_ksnn,34102.27
2020-03-09,wo_noc,17339.63
2020-03-09,wo_ktts,24.0
2020-03-09,wo_co_dien,129272.87
2020-03-09,wo_vt_cntt,76370.4
2020-03-10,wo_noc,16775.79
2020-03-10,wo_ksnn,33214.5
2020-03-10,wo_others,199505.75
2020-03-10,wo_ktts,24.0
2020-03-10,wo_vt_cntt,76248.0
2020-03-10,wo_co_dien,125523.17
2020-03-11,wo_vt_cntt,76248.0
2020-03-11,wo_noc,18709.06
2020-03-11,wo_ksnn,32569.57
2020-03-11,wo_co_dien,122065.98
2020-03-11,wo_others,202002.82
2020-03-11,wo_ktts,24.0
2020-03-12,wo_co_dien,118390.38
2020-03-12,wo_ksnn,31532.85
2020-03-12,wo_vt_cntt,76248.0
2020-03-12,wo_noc,20349.55
2020-03-12,wo_others,204426.34
2020-03-12,wo_ktts,24.0
2020-03-13,wo_others,206724.18
2020-03-13,wo_ksnn,30360.65
2020-03-13,wo_co_dien,114033.44
2020-03-13,wo_ktts,24.0
2020-03-13,wo_noc,17525.64
2020-03-13,wo_vt_cntt,76248.0
2020-03-14,wo_ktts,24.07
2020-03-14,wo_co_dien,110289.0
2020-03-14,wo_vt_cntt,76207.77
2020-03-14,wo_others,206077.99
2020-03-14,wo_ksnn,29635.74
2020-03-14,wo_noc,16536.09
2020-03-15,wo_ktts,24.0
2020-03-15,wo_noc,17019.52
2020-03-15,wo_ksnn,28775.52
2020-03-15,wo_others,205025.13
2020-03-15,wo_co_dien,108215.21
2020-03-15,wo_vt_cntt,76176.0
2020-03-16,wo_ktts,24.0
2020-03-16,wo_noc,15842.21
2020-03-16,wo_ksnn,27476.15
2020-03-16,wo_co_dien,105485.47
2020-03-16,wo_others,201932.18
2020-03-16,wo_vt_cntt,76176.0
2020-03-17,wo_ktts,24.0
2020-03-17,wo_noc,13433.33
2020-03-17,wo_vt_cntt,76167.19
2020-03-17,wo_others,197381.3
2020-03-17,wo_ksnn,25464.73
2020-03-17,wo_co_dien,101265.82
2020-03-18,wo_co_dien,98295.37
2020-03-18,wo_vt_cntt,76194.19
2020-03-18,wo_noc,14355.97
2020-03-18,wo_ksnn,20549.92
2020-03-18,wo_others,196171.33
2020-03-18,wo_ktts,24.0
2020-03-19,wo_ksnn,33980.36
2020-03-19,wo_ktts,24.0
2020-03-19,wo_noc,14406.95
2020-03-19,wo_vt_cntt,76200.0
2020-03-19,wo_others,194375.91
2020-03-19,wo_co_dien,94396.11
2020-03-20,wo_vt_cntt,76218.05
2020-03-20,wo_co_dien,89894.72
2020-03-20,wo_ksnn,39940.47
2020-03-20,wo_others,190061.17
2020-03-20,wo_ktts,24.0
2020-03-20,wo_noc,13473.27
2020-03-21,wo_others,187235.41
2020-03-21,wo_vt_cntt,76084.09
2020-03-21,wo_co_dien,85232.77
2020-03-21,wo_ktts,24.0
2020-03-21,wo_noc,13157.99
2020-03-21,wo_ksnn,39303.44
2020-03-22,wo_ksnn,38703.5
2020-03-22,wo_others,183231.7
2020-03-22,wo_co_dien,81246.67
2020-03-22,wo_noc,13316.16
2020-03-22,wo_ktts,24.0
2020-03-22,wo_vt_cntt,75936.0
2020-03-23,wo_others,178511.06
2020-03-23,wo_vt_cntt,75862.84
2020-03-23,wo_ktts,24.0
2020-03-23,wo_co_dien,77858.01
2020-03-23,wo_ksnn,38147.33
2020-03-23,wo_noc,13716.67
2020-03-24,wo_co_dien,73825.07
2020-03-24,wo_ksnn,37636.04
2020-03-24,wo_vt_cntt,75441.71
2020-03-24,wo_ktts,24.0
2020-03-24,wo_others,174103.92
2020-03-24,wo_noc,13701.89
2020-03-25,wo_noc,14279.83
2020-03-25,wo_others,169884.73
2020-03-25,wo_co_dien,69763.78
2020-03-25,wo_ktts,24.0
2020-03-25,wo_vt_cntt,73447.13
2020-03-25,wo_ksnn,36872.91
2020-03-26,wo_noc,14250.59
2020-03-26,wo_ktts,24.0
2020-03-26,wo_others,162221.22
2020-03-26,wo_vt_cntt,73272.0
2020-03-26,wo_ksnn,36352.43
2020-03-26,wo_co_dien,65673.82
2020-03-27,wo_co_dien,60668.53
2020-03-27,wo_ksnn,35831.04
2020-03-27,wo_ktts,24.0
2020-03-27,wo_vt_cntt,71317.19
2020-03-27,wo_others,158034.56
2020-03-27,wo_noc,14532.61
2020-03-28,wo_ksnn,35166.76
2020-03-28,wo_others,153156.88
2020-03-28,wo_co_dien,54016.87
2020-03-28,wo_vt_cntt,39873.77
2020-03-28,wo_ktts,24.0
2020-03-28,wo_noc,15266.88
2020-03-29,wo_co_dien,48986.18
2020-03-29,wo_others,147163.01
2020-03-29,wo_ksnn,34533.68
2020-03-29,wo_noc,15579.78
2020-03-29,wo_vt_cntt,2038.19
2020-03-29,wo_ktts,24.0
2020-03-30,wo_ksnn,33542.79
2020-03-30,wo_noc,13981.72
2020-03-30,wo_co_dien,42502.07
2020-03-30,wo_others,137664.5
2020-03-30,wo_ktts,24.0
2020-03-30,wo_vt_cntt,144.68
2020-03-31,wo_vt_cntt,144.0
2020-03-31,wo_noc,13669.5
2020-03-31,wo_ksnn,35031.53
2020-03-31,wo_others,129593.49
2020-03-31,wo_co_dien,33409.85
2020-03-31,wo_ktts,24.0
2020-04-01,wo_co_dien,44378.04
2020-04-01,wo_noc,13450.97
2020-04-01,wo_ksnn,34503.61
2020-04-01,wo_vt_cntt,144.0
2020-04-01,wo_ktts,24.0
2020-04-01,wo_others,126062.37
2020-04-02,wo_noc,13451.28
2020-04-02,wo_co_dien,55251.98
2020-04-02,wo_vt_cntt,144.0
2020-04-02,wo_ksnn,33334.02
2020-04-02,wo_ktts,24.0
2020-04-02,wo_others,126309.26
2020-04-03,wo_others,109131.32
2020-04-03,wo_ksnn,32382.02
2020-04-03,wo_ktts,24.0
2020-04-03,wo_co_dien,54917.62
2020-04-03,wo_noc,14563.26
2020-04-03,wo_vt_cntt,144.0
2020-04-04,wo_vt_cntt,144.0
2020-04-04,wo_ktts,24.0
2020-04-04,wo_co_dien,53695.36
2020-04-04,wo_others,82890.22
2020-04-04,wo_noc,15825.57
2020-04-04,wo_ksnn,31167.68
2020-04-05,wo_vt_cntt,144.0
2020-04-05,wo_ktts,24.0
