,date,phong_ban,sum_duration
280,2020-11-29,wo_co_dien,76854.01
281,2020-06-16,wo_co_dien,179322.04
282,2020-10-14,wo_co_dien,79451.99
283,2020-11-15,wo_co_dien,140167.2
284,2020-07-19,wo_others,226751.63
285,2020-10-11,wo_others,414707.93
286,2020-09-21,wo_noc,20419.38
287,2020-05-15,wo_vt_cntt,144.0
288,2020-04-04,wo_ktts,24.0
289,2020-01-14,wo_others,11395.16
290,2020-01-20,wo_others,13710.91
291,2020-01-16,wo_noc,25437.39
292,2020-02-09,wo_noc,14428.69
293,2020-07-08,wo_vt_cntt,144.0
294,2020-09-01,wo_vt_cntt,178.1
295,2020-04-30,wo_ktts,24.0
296,2020-06-24,wo_ktts,107.51
297,2020-07-07,wo_ktts,120.0
298,2020-03-21,wo_co_dien,85232.77
299,2020-07-31,wo_others,257201.91
300,2020-12-07,wo_others,317686.07
301,2020-05-07,wo_ksnn,25363.72
302,2020-09-23,wo_ktts,360.0
303,2020-09-28,wo_ktts,360.0
304,2020-03-29,wo_co_dien,48986.18
305,2020-05-04,wo_co_dien,318995.21
306,2020-12-02,wo_co_dien,124600.34
307,2020-10-28,wo_others,296759.24
308,2020-05-14,wo_noc,16342.02
309,2020-06-18,wo_ksnn,45382.37
310,2020-07-09,wo_ksnn,43486.49
311,2020-02-12,wo_vt_cntt,75825.28
312,2020-01-02,wo_noc,4725.2
313,2020-07-07,wo_co_dien,262905.17
314,2020-09-10,wo_others,420073.79
315,2020-05-30,wo_noc,17818.72
316,2020-09-10,wo_noc,20623.73
317,2020-09-11,wo_noc,20643.76
318,2020-11-01,wo_noc,17943.68
319,2020-07-15,wo_ksnn,48054.61
320,2020-01-15,wo_co_dien,136103.7
321,2020-03-05,wo_vt_cntt,76584.0
322,2020-04-04,wo_vt_cntt,144.0
323,2020-02-09,wo_others,20923.61
324,2020-03-01,wo_others,71592.83
325,2020-05-23,wo_others,263797.68
326,2020-06-03,wo_others,215297.8
327,2020-10-26,wo_others,312873.7
328,2020-02-07,wo_co_dien,122767.53
329,2020-02-06,wo_noc,15184.31
330,2020-03-09,wo_noc,17339.63
331,2020-06-16,wo_ksnn,46282.86
332,2020-06-17,wo_co_dien,176735.17
333,2020-09-15,wo_co_dien,130676.79
334,2020-10-06,wo_co_dien,85753.98
335,2020-05-30,wo_ktts,96.0
336,2020-04-07,wo_ksnn,27540.3
337,2020-08-20,wo_co_dien,133704.62
338,2020-08-27,wo_co_dien,100730.98
339,2020-12-08,wo_co_dien,119191.6
340,2020-12-10,wo_others,329849.72
341,2020-11-21,wo_noc,21759.06
342,2020-04-25,wo_ksnn,31749.95
343,2020-07-19,wo_vt_cntt,192.0
344,2020-07-29,wo_vt_cntt,192.0
345,2020-05-19,wo_ktts,48.0
346,2020-02-03,wo_ksnn,30959.22
347,2020-04-14,wo_ktts,24.0
348,2020-09-06,wo_co_dien,176715.63
349,2020-11-13,wo_co_dien,142807.09
350,2020-11-15,wo_noc,20764.27
351,2020-03-24,wo_co_dien,73825.07
352,2020-09-12,wo_co_dien,146391.64
353,2020-10-13,wo_co_dien,80028.48
354,2020-08-18,wo_others,368830.4
355,2020-08-20,wo_others,368819.89
356,2020-12-17,wo_others,332965.99
357,2020-12-14,wo_vt_cntt,168.0
358,2020-06-30,wo_ktts,120.0
359,2020-08-18,wo_ktts,360.0
360,2020-02-22,wo_ktts,24.0
361,2020-01-03,wo_co_dien,238813.4
362,2020-01-17,wo_others,13338.92
363,2020-02-20,wo_others,134958.59
364,2020-11-23,wo_others,296401.02
365,2020-04-03,wo_noc,14563.26
366,2020-02-21,wo_vt_cntt,78602.23
367,2020-10-06,wo_vt_cntt,168.0
368,2020-06-02,wo_co_dien,139586.81
369,2020-10-24,wo_ksnn,30911.95
370,2020-03-21,wo_others,187235.41
371,2020-05-09,wo_noc,16309.11
372,2020-08-16,wo_ksnn,42288.36
373,2020-10-16,wo_vt_cntt,168.0
374,2020-06-23,wo_ktts,96.0
375,2020-11-17,wo_ktts,384.0
376,2020-11-30,wo_ktts,384.0
377,2020-01-19,wo_others,13362.95
378,2020-09-24,wo_noc,22165.66
379,2020-06-02,wo_vt_cntt,144.0
380,2020-08-26,wo_vt_cntt,192.0
381,2020-05-24,wo_ktts,72.0
382,2020-07-28,wo_ktts,120.0
383,2020-09-17,wo_ktts,360.0
384,2020-09-27,wo_ktts,360.0
385,2020-04-15,wo_ktts,24.0
386,2020-01-17,wo_noc,24578.24
387,2020-02-08,wo_noc,12842.09
388,2020-11-10,wo_co_dien,151878.32
389,2020-12-21,wo_co_dien,146524.93
390,2020-06-08,wo_others,229530.4
391,2020-10-13,wo_noc,19042.89
392,2020-06-19,wo_vt_cntt,144.0
393,2020-11-19,wo_vt_cntt,192.0
394,2020-02-16,wo_noc,13769.72
395,2020-03-15,wo_ktts,24.0
396,2020-09-01,wo_co_dien,80085.7
397,2020-09-03,wo_ksnn,46069.53
398,2020-09-26,wo_ksnn,48376.56
399,2020-09-29,wo_vt_cntt,192.0
400,2020-08-01,wo_ktts,120.0
401,2020-10-19,wo_ktts,360.0
402,2020-12-19,wo_ktts,384.0
403,2020-05-06,wo_ktts,24.0
404,2020-04-28,wo_others,139061.87
405,2020-07-04,wo_noc,22047.97
406,2020-09-02,wo_noc,21900.08
407,2020-10-29,wo_noc,18505.49
408,2020-04-21,wo_ksnn,35099.85
409,2020-06-15,wo_vt_cntt,144.0
410,2020-11-24,wo_ksnn,50429.37
411,2020-11-30,wo_co_dien,69768.87
412,2020-05-26,wo_others,239247.99
413,2020-06-18,wo_others,261658.69
414,2020-11-14,wo_others,330883.85
415,2020-08-20,wo_noc,26374.24
416,2020-12-17,wo_noc,22997.83
417,2020-07-18,wo_ksnn,46912.7
418,2020-09-06,wo_vt_cntt,168.0
419,2020-09-28,wo_vt_cntt,192.0
420,2020-11-14,wo_vt_cntt,166.56
421,2020-05-15,wo_ktts,48.0
422,2020-09-06,wo_ktts,360.0
423,2020-12-02,wo_ktts,384.0
